,0
0,0
1,1
2,1
3,1
4,2
5,2
6,2
7,2
8,3
9,3
10,4
11,5
12,6
13,7
14,7
15,7
16,8
17,9
18,10
19,10
20,10
21,11
22,11
23,12
24,13
25,14
26,15
27,16
28,17
29,17
30,17
31,17
32,18
33,19
34,20
35,20
36,21
37,21
38,21
39,22
40,22
41,23
42,24
43,25
44,25
45,26
46,26
47,26
48,27
49,27
50,28
51,29
52,29
53,29
54,30
55,30
56,31
57,31
58,32
59,32
60,33
61,33
62,34
63,34
64,34
65,34
66,34
67,34
68,34
69,34
70,34
71,35
72,36
73,36
74,36
75,36
76,37
77,37
78,37
79,38
80,39
81,40
82,40
83,41
84,41
85,42
86,42
87,43
88,43
89,43
90,44
91,45
92,46
93,47
94,48
95,48
96,49
97,50
98,51
99,52
100,52
101,52
102,52
103,53
104,53
105,54
106,55
107,56
108,57
109,58
110,59
111,59
112,59
113,59
114,60
115,60
116,61
117,61
118,62
119,62
120,63
121,63
122,64
123,64
124,65
125,65
126,66
127,66
128,66
129,67
130,68
131,68
132,69
133,69
134,70
135,70
136,71
137,71
138,72
139,72
140,73
141,74
142,74
143,75
144,76
145,77
146,77
147,78
148,78
149,79
150,79
151,80
152,80
153,81
154,82
155,82
156,83
157,83
158,83
159,83
160,84
161,84
162,85
163,85
164,86
165,86
166,87
167,87
168,88
169,89
170,89
171,90
172,90
173,91
174,92
175,92
176,92
177,93
178,93
179,93
180,93
181,93
182,93
183,94
184,95
185,96
186,96
187,97
188,97
189,98
190,99
191,100
192,101
193,102
194,103
195,103
196,104
197,104
198,105
199,105
200,105
201,106
202,106
203,106
204,106
205,107
206,108
207,108
208,109
209,110
210,110
211,111
212,112
213,112
214,113
215,113
216,113
217,114
218,114
219,114
220,115
221,116
222,117
223,118
224,118
225,119
226,119
227,119
228,119
229,119
230,120
231,120
232,121
233,121
234,121
235,121
236,121
237,121
238,122
239,123
240,124
241,125
242,126
243,127
244,128
245,129
246,130
247,131
248,132
249,132
250,133
251,134
252,134
253,135
254,135
255,135
256,136
257,137
258,138
259,139
260,140
261,141
262,142
263,142
264,142
265,142
266,143
267,143
268,144
269,145
270,145
271,145
272,145
273,145
274,146
275,147
276,148
277,149
278,149
279,149
280,150
281,150
282,151
283,151
284,152
285,153
286,154
287,155
288,156
289,156
290,157
291,158
292,158
293,158
294,158
295,158
296,159
297,159
298,160
299,160
300,161
301,162
302,163
303,164
304,165
305,166
306,167
307,168
308,169
309,170
310,170
311,171
312,172
313,173
314,174
315,174
316,175
317,176
318,176
319,176
320,176
321,177
322,178
323,178
324,178
325,178
326,178
327,178
328,178
329,179
330,179
331,180
332,180
333,181
334,181
335,181
336,181
337,182
338,182
339,183
340,184
341,185
342,186
343,187
344,188
345,189
346,189
347,190
348,190
349,191
350,192
351,193
352,193
353,193
354,193
355,193
356,193
357,193
358,193
359,194
360,195
361,196
362,197
363,198
364,199
365,200
366,200
367,200
368,200
369,200
370,200
371,200
372,201
373,202
374,203
375,203
376,203
377,203
378,204
379,204
380,204
381,204
382,205
383,205
384,206
385,206
386,207
387,207
388,207
389,207
390,208
391,208
392,208
393,208
394,208
395,209
396,209
397,210
398,211
399,212
400,213
401,213
402,213
403,213
404,214
405,214
406,214
407,215
408,216
409,217
410,217
411,218
412,218
413,218
414,219
415,219
416,220
417,220
418,220
419,221
420,221
421,221
422,222
423,222
424,223
425,223
426,223
427,223
428,223
429,224
430,225
431,225
432,226
433,226
434,227
435,227
436,228
437,229
438,230
439,231
440,231
441,232
442,233
443,234
444,234
445,234
446,234
447,234
448,235
449,236
450,237
451,238
452,238
453,239
454,240
455,240
456,240
457,240
458,240
459,241
460,241
461,242
462,242
463,243
464,244
465,244
466,245
467,245
468,245
469,245
470,246
471,247
472,247
473,247
474,248
475,249
476,249
477,250
478,250
479,251
480,252
481,252
482,252
483,253
484,254
485,255
486,256
487,257
488,258
489,259
490,259
491,260
492,260
493,260
494,260
495,261
496,261
497,261
498,262
499,262
500,262
501,262
502,263
503,264
504,265
505,265
506,266
507,266
508,267
509,268
510,268
511,268
512,269
513,269
514,269
515,270
516,270
517,270
518,270
519,270
520,270
521,270
522,271
523,271
524,271
525,272
526,273
527,274
528,275
529,275
530,276
531,276
532,276
533,277
534,278
535,278
536,278
537,278
538,278
539,279
540,280
541,281
542,281
543,281
544,281
545,281
546,281
547,282
548,282
549,282
550,283
551,284
552,284
553,285
554,285
555,286
556,286
557,286
558,286
559,286
560,286
561,287
562,287
563,287
564,287
565,287
566,287
567,287
568,288
569,288
570,288
571,288
572,288
573,288
574,289
575,289
576,289
577,290
578,291
579,291
580,292
581,292
582,293
583,294
584,294
585,294
586,294
587,295
588,295
589,295
590,296
591,296
592,297
593,297
594,297
595,297
596,298
597,298
598,299
599,299
600,300
601,300
602,301
603,301
604,302
605,302
606,303
607,304
608,304
609,304
610,304
611,304
612,305
613,306
614,306
615,307
616,308
617,309
618,309
619,310
620,310
621,311
622,311
623,312
624,312
625,313
626,313
627,313
628,313
629,314
630,315
631,315
632,316
633,317
634,317
635,318
636,319
637,320
638,320
639,320
640,320
641,320
642,320
643,320
644,321
645,321
646,321
647,321
648,321
649,321
650,321
651,322
652,323
653,323
654,323
655,323
656,323
657,323
658,323
659,323
660,324
661,324
662,325
663,325
664,326
665,326
666,326
667,326
668,327
669,327
670,327
671,327
672,328
673,329
674,329
675,330
676,330
677,331
678,332
679,333
680,333
681,334
682,335
683,335
684,335
685,336
686,336
687,337
688,337
689,337
690,337
691,337
692,337
693,337
694,337
695,337
696,337
697,337
698,337
699,337
700,338
701,339
702,340
703,340
704,341
705,341
706,342
707,342
708,342
709,343
710,343
711,344
712,345
713,346
714,346
715,346
716,346
717,346
718,347
719,347
720,348
721,348
722,348
723,348
724,348
725,349
726,349
727,350
728,350
729,351
730,351
731,351
732,351
733,351
734,351
735,352
736,352
737,352
738,353
739,354
740,354
741,354
742,354
743,354
744,354
745,354
746,355
747,355
748,355
749,355
750,355
751,356
752,356
753,356
754,357
755,357
756,358
757,358
758,359
759,360
760,361
761,361
762,362
763,363
764,364
765,365
766,366
767,367
768,367
769,368
770,369
771,369
772,369
773,369
774,369
775,370
776,371
777,372
778,372
779,372
780,372
781,373
782,374
783,374
784,375
785,376
786,376
787,376
788,376
789,376
790,377
791,377
792,377
793,377
794,377
795,377
796,377
797,377
798,378
799,379
800,379
801,379
802,379
803,379
804,380
805,380
806,381
807,381
808,381
809,382
810,382
811,382
812,383
813,383
814,383
815,383
816,383
817,384
818,384
819,384
820,384
821,385
822,386
823,387
824,388
825,388
826,388
827,389
828,389
829,390
830,390
831,390
832,391
833,391
834,391
835,392
836,393
837,393
838,394
839,394
840,394
841,394
842,394
843,395
844,395
845,395
846,395
847,396
848,396
849,396
850,396
851,396
852,396
853,396
854,396
855,397
856,397
857,398
858,398
859,398
860,398
861,399
862,399
863,400
864,400
865,400
866,401
867,401
868,402
869,402
870,402
871,403
872,404
873,404
874,405
875,405
876,405
877,405
878,405
879,405
880,405
881,406
882,406
883,407
884,408
885,408
886,408
887,408
888,409
889,409
890,409
891,410
892,410
893,411
894,411
895,411
896,411
897,411
898,412
899,412
900,413
901,413
902,413
903,413
904,413
905,413
906,414
907,414
908,415
909,415
910,416
911,416
912,416
913,416
914,416
915,416
916,416
917,416
918,416
919,417
920,417
921,417
922,418
923,418
924,418
925,419
926,419
927,420
928,420
929,420
930,420
931,420
932,420
933,420
934,420
935,420
936,420
937,421
938,421
939,421
940,421
941,421
942,421
943,421
944,421
945,421
946,421
947,421
948,421
949,421
950,422
951,422
952,422
953,422
954,423
955,424
956,424
957,424
958,424
959,424
960,424
961,424
962,425
963,425
964,425
965,425
966,425
967,425
968,425
969,425
970,426
971,426
972,427
973,427
974,427
975,427
976,428
977,428
978,428
979,428
980,429
981,429
982,429
983,429
984,429
985,429
986,429
987,429
988,429
989,429
990,430
991,430
992,430
993,430
994,430
995,430
996,431
997,431
998,431
999,432
1000,432
1001,432
1002,433
1003,433
1004,433
1005,433
1006,433
1007,433
1008,434
1009,434
1010,435
1011,435
1012,435
1013,436
1014,436
1015,436
1016,436
1017,436
1018,436
1019,436
1020,437
1021,438
1022,438
1023,438
1024,438
1025,438
1026,439
1027,439
1028,439
1029,440
1030,440
1031,440
1032,440
1033,440
1034,441
1035,441
1036,441
1037,441
1038,441
1039,441
1040,441
1041,442
1042,442
1043,443
1044,443
1045,443
1046,444
1047,445
1048,446
1049,446
1050,447
1051,447
1052,447
1053,447
1054,447
1055,448
1056,448
1057,448
1058,448
1059,448
1060,448
