,0
0,0
1,1
2,2
3,2
4,3
5,3
6,4
7,5
8,5
9,5
10,5
11,6
12,7
13,8
14,8
15,8
16,8
17,9
18,9
19,9
20,9
21,10
22,11
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,13
31,14
32,14
33,15
34,15
35,15
36,15
37,15
38,16
39,17
40,17
41,18
42,18
43,18
44,18
45,18
46,18
47,19
48,19
49,19
50,19
51,19
52,20
53,21
54,22
55,22
56,22
57,22
58,22
59,23
60,23
61,24
62,24
63,24
64,25
65,25
66,25
67,26
68,27
69,28
70,29
71,30
72,30
73,30
74,30
75,31
76,31
77,32
78,33
79,34
80,35
81,35
82,36
83,37
84,38
85,38
86,39
87,39
88,40
89,41
90,41
91,41
92,41
93,41
94,42
95,43
96,44
97,44
98,44
99,44
100,45
101,46
102,46
103,47
104,48
105,49
106,50
107,51
108,51
109,52
110,53
111,53
112,53
113,53
114,53
115,53
116,53
117,53
118,54
119,54
120,55
121,55
122,56
123,56
124,57
125,57
126,57
127,58
128,59
129,60
130,60
131,61
132,61
133,62
134,62
135,63
136,63
137,63
138,63
139,63
140,63
141,64
142,64
143,65
144,65
145,65
146,66
147,66
148,66
149,67
150,67
151,67
152,68
153,69
154,70
155,71
156,71
157,72
158,73
159,73
160,73
161,73
162,74
163,75
164,76
165,76
166,76
167,77
168,77
169,78
170,78
171,79
172,80
173,80
174,80
175,81
176,82
177,83
178,84
179,85
180,86
181,87
182,87
183,88
184,88
185,88
186,88
187,89
188,89
189,90
190,91
191,91
192,91
193,92
194,92
195,92
196,92
197,93
198,94
199,95
200,95
201,95
202,96
203,97
204,97
205,97
206,97
207,98
208,98
209,99
210,99
211,99
212,99
213,99
214,99
215,100
216,101
217,102
218,103
219,103
220,104
221,104
222,105
223,105
224,106
225,106
226,106
227,106
228,106
229,107
230,107
231,107
232,108
233,109
234,110
235,111
236,112
237,113
238,114
239,115
240,116
241,116
242,117
243,118
244,119
245,119
246,120
247,120
248,120
249,120
250,121
251,122
252,123
253,124
254,125
255,125
256,126
257,127
258,128
259,128
260,129
261,129
262,129
263,130
264,131
265,131
266,131
267,132
268,132
269,133
270,134
271,135
272,135
273,136
274,136
275,136
276,136
277,137
278,138
279,139
280,139
281,139
282,139
283,139
284,139
285,139
286,140
287,140
288,141
289,141
290,141
291,141
292,142
293,143
294,144
295,144
296,145
297,146
298,146
299,147
300,148
301,149
302,150
303,150
304,150
305,151
306,152
307,152
308,152
309,153
310,154
311,155
312,156
313,156
314,156
315,156
316,156
317,156
318,157
319,157
320,157
321,157
322,157
323,157
324,157
325,158
326,159
327,160
328,161
329,161
330,161
331,162
332,162
333,162
334,162
335,162
336,163
337,163
338,164
339,164
340,165
341,165
342,166
343,166
344,167
345,167
346,167
347,168
348,169
349,170
350,171
351,171
352,172
353,172
354,172
355,172
356,173
357,173
358,174
359,174
360,175
361,176
362,177
363,177
364,178
365,178
366,179
367,180
368,181
369,182
370,182
371,183
372,183
373,183
374,184
375,185
376,186
377,187
378,187
379,188
380,189
381,189
382,189
383,190
384,190
385,190
386,190
387,191
388,191
389,191
390,191
391,192
392,193
393,193
394,194
395,194
396,194
397,194
398,195
399,196
400,196
401,197
402,198
403,199
404,199
405,200
406,201
407,202
408,202
409,203
410,203
411,203
412,203
413,204
414,204
415,204
416,204
417,204
418,204
419,205
420,206
421,206
422,207
423,208
424,209
425,209
426,210
427,211
428,212
429,212
430,212
431,213
432,213
433,213
434,213
435,213
436,214
437,214
438,214
439,215
440,215
441,215
442,215
443,216
444,217
445,218
446,218
447,219
448,219
449,220
450,220
451,220
452,220
453,220
454,220
455,221
456,221
457,222
458,222
459,223
460,224
461,224
462,224
463,224
464,224
465,224
466,224
467,225
468,226
469,226
470,226
471,226
472,227
473,227
474,228
475,228
476,228
477,229
478,229
479,229
480,230
481,230
482,230
483,231
484,232
485,233
486,234
487,234
488,234
489,234
490,234
491,235
492,235
493,236
494,236
495,236
496,237
497,237
498,237
499,237
500,237
501,238
502,238
503,238
504,238
505,239
506,240
507,240
508,240
509,241
510,241
511,241
512,242
513,242
514,242
515,242
516,243
517,243
518,244
519,244
520,244
521,244
522,245
523,245
524,245
525,245
526,246
527,247
528,248
529,248
530,248
531,249
532,250
533,250
534,251
535,252
536,253
537,254
538,255
539,255
540,255
541,255
542,255
543,256
544,257
545,257
546,257
547,258
548,258
549,259
550,259
551,260
552,260
553,260
554,261
555,261
556,262
557,262
558,262
559,262
560,262
561,262
562,262
563,262
564,262
565,263
566,263
567,264
568,264
569,264
570,264
571,265
572,265
573,265
574,265
575,266
576,267
577,268
578,268
579,268
580,268
581,269
582,269
583,270
584,270
585,271
586,271
587,271
588,271
589,271
590,271
591,271
592,272
593,272
594,273
595,274
596,275
597,275
598,275
599,275
600,276
601,276
602,277
603,277
604,278
605,278
606,279
607,279
608,280
609,280
610,280
611,280
612,280
613,281
614,281
615,282
616,282
617,282
618,283
619,283
620,283
621,283
622,283
623,284
624,284
625,285
626,286
627,287
628,288
629,289
630,289
631,289
632,289
633,289
634,290
635,290
636,290
637,290
638,291
639,292
640,293
641,293
642,293
643,294
644,294
645,295
646,296
647,297
648,297
649,297
650,297
651,298
652,298
653,299
654,300
655,300
656,301
657,301
658,301
659,302
660,303
661,303
662,304
663,304
664,305
665,306
666,306
667,307
668,307
669,307
670,308
671,309
672,309
673,310
674,310
675,311
676,311
677,311
678,311
679,312
680,313
681,314
682,314
683,315
684,315
685,315
686,315
687,315
688,315
689,315
690,316
691,317
692,317
693,317
694,318
695,319
696,319
697,319
698,319
699,319
700,319
701,319
702,319
703,320
704,320
705,321
706,321
707,322
708,322
709,322
710,322
711,322
712,322
713,322
714,322
715,322
716,322
717,322
718,322
719,322
720,323
721,323
722,324
723,324
724,324
725,324
726,325
727,326
728,326
729,327
730,328
731,328
732,328
733,329
734,329
735,329
736,330
737,330
738,330
739,330
740,330
741,330
742,330
743,330
744,330
745,331
746,331
747,332
748,332
749,333
750,334
751,335
752,336
753,337
754,338
755,338
756,338
757,339
758,340
759,340
760,340
761,341
762,341
763,341
764,341
765,341
766,341
767,342
768,342
769,342
770,342
771,343
772,343
773,343
774,343
775,343
776,343
777,343
778,344
779,345
780,345
781,345
782,346
783,346
784,346
785,346
786,347
787,347
788,347
789,347
790,347
791,347
792,348
793,348
794,349
795,349
796,350
797,350
798,351
799,351
800,352
801,352
802,353
803,353
804,353
805,353
806,354
807,355
808,355
809,355
810,356
811,356
812,357
813,358
814,359
815,360
816,361
817,362
818,362
819,362
820,362
821,362
822,363
823,364
824,365
825,365
826,366
827,366
828,366
829,366
830,367
831,367
832,368
833,368
834,369
835,369
836,370
837,371
838,371
839,372
840,372
841,372
842,373
843,373
844,374
845,375
846,376
847,376
848,377
849,377
850,377
851,378
852,378
853,378
854,378
855,379
856,380
857,380
858,380
859,380
860,380
861,380
862,381
863,381
864,381
865,381
866,381
867,381
868,382
869,382
870,382
871,383
872,383
873,384
874,384
875,384
876,384
877,385
878,385
879,385
880,385
881,386
882,386
883,386
884,387
885,387
886,388
887,389
888,389
889,389
890,389
891,389
892,389
893,390
894,391
895,391
896,391
897,391
898,391
899,391
900,391
901,391
902,392
903,392
904,392
905,392
906,393
907,393
908,394
909,394
910,394
911,394
912,394
913,395
914,395
915,395
916,395
917,396
918,396
919,396
920,396
921,396
922,396
923,396
924,397
925,398
926,398
927,399
928,400
929,400
930,400
931,401
932,401
933,401
934,401
935,401
936,401
937,401
938,401
939,401
940,401
941,401
942,401
943,402
944,402
945,403
946,403
947,403
948,404
949,405
950,406
951,407
952,408
953,409
954,409
955,409
956,409
957,410
958,411
959,412
960,412
961,413
962,413
963,413
964,414
965,415
966,415
967,416
968,416
969,417
970,417
971,417
972,417
973,417
974,417
975,418
976,419
977,419
978,420
979,421
980,422
981,422
982,422
983,422
984,422
985,422
986,422
987,423
988,423
989,423
990,423
991,423
992,423
993,424
994,424
995,425
996,425
997,425
998,426
999,426
1000,426
1001,427
1002,428
1003,429
1004,429
1005,429
1006,430
1007,430
1008,430
1009,430
1010,430
1011,430
1012,430
1013,430
1014,430
1015,431
1016,431
1017,432
1018,433
1019,433
1020,433
1021,433
1022,433
1023,433
1024,434
1025,434
1026,434
1027,434
1028,434
1029,434
1030,435
1031,435
1032,435
1033,435
1034,435
1035,435
1036,435
1037,435
1038,435
1039,435
1040,435
1041,435
1042,435
1043,435
1044,435
1045,436
1046,436
1047,436
1048,436
1049,436
1050,436
1051,436
1052,436
1053,436
1054,437
1055,437
1056,437
1057,437
1058,437
1059,438
1060,439
